GeneID,LTHSC.34-.BM,LTHSC.34+.BM,STHSC.150-.BM,MPP4.135+.BM,proB.CLP.BM,proB.FrA.BM,proB.FrBC.BM,B.FrE.BM,B1b.PC,B.T1.Sp,B.T2.Sp,B.T3.Sp,B.Sp,B.Fem.Sp,B.MZ.Sp,B.Fo.Sp,B.mem.Sp,B.GC.CB.Sp,B.GC.CC.Sp,B.PB.Sp,B.PC.Sp,B.PC.BM,preT.DN1.Th,preT.DN2a.Th,preT.DN2b.Th,preT.DN3.Th,T.DN4.Th,T.ISP.Th,T.DP.Th,T.4.Th,T.8.Th,T.4.Nve.Sp,T.4.Nve.Fem.Sp,T.8.Nve.Sp,T.4.Sp.aCD3+CD40.18hr,Treg.4.FP3+.Nrplo.Co,Treg.4.25hi.Sp,T8.TN.P14.Sp,T8.IEL.LCMV.d7.Gut,T8.TE.LCMV.d7.Sp,T8.MP.LCMV.d7.Sp,T8.Tcm.LCMV.d180.Sp,T8.Tem.LCMV.d180.Sp,NKT.Sp,NKT.Sp.LPS.3hr,NKT.Sp.LPS.18hr,NKT.Sp.LPS.3d,Tgd.g2+d17.24a+.Th,Tgd.g2+d17.LN,Tgd.g2+d1.24a+.Th,Tgd.g2+d1.LN,Tgd.g1.1+d1.24a+.Th,Tgd.g1.1+d1.LN,Tgd.Sp,NK.27+11b-.BM,NK.27+11b+.BM,NK.27-11b+.BM,NK.27+11b-.Sp,NK.27+11b+.Sp,NK.27-11b+.Sp,ILC2.SI,ILC3.NKp46-CCR6-.SI,ILC3.NKp46+.SI,ILC3.CCR6+.SI,MPP3.48+.BM,GN.BM,GN.Sp,GN.Thio.PC,Mo.6C+II-.Bl,Mo.6C-II-.Bl,MF.pIC.Alv.Lu,MF.226+II+480lo.PC,MF.ICAM+480hi.PC,MF.RP.Sp,MF.Alv.Lu,MF.microglia.CNS,MF.PC,MF.Fem.PC,DC.4+.Sp,DC.8+.Sp,DC.pDC.Sp,FRC.SLN,IAP.SLN,BEC.SLN,LEC.SLN,Ep.MEChi.Th
ASCL1,1.020794861,1.021260412,1.021750097,1.02181159,1.023170884,1.021346039,1.024461573,1.025832874,1.025543402,1.024818568,1.026268237,1.026268237,1.024818568,1.026268237,1.025543402,1.026553242,1.023170884,1.025785014,1.024031344,1.024314279,1.02684718,1.022362769,1.13166874,1.024461573,1.024818568,1.024482376,1.026429664,1.026216629,1.024818568,1.024461573,1.024818568,1.026699851,1.902377142,1.026268237,1.025785014,1.024859064,1.025543402,1.027563081,1.026268237,1.026268237,1.026557708,1.025832874,1.024818568,1.023170884,1.025832874,1.024818568,1.024818568,1.024818568,1.023994726,1.565377634,1.024818568,1.023994726,1.025543402,1.023994726,1.025543402,1.024818568,1.035531923,1.024781127,1.024104579,1.024818568,1.024818568,1.022362769,1.022766826,1.023170884,1.022573939,1.02720513,1.024818568,1.027563081,1.024818568,1.02471956,1.026268237,1.025543402,1.024818568,1.024818568,1.025543402,1.026268237,1.025785014,1.025785014,1.02181159,1.022766826,1.024461573,1.019656145,1.017884268,1.019106789,1.017884268,291.1424961
ASCL2,2.793215556,1.584327459,1.475523648,1.107393071,2.95046254,1.021346039,1.024461573,1.025832874,1.025543402,1.024818568,1.026268237,1.026268237,1.024818568,1.026268237,1.025543402,1.026553242,1.023170884,1.973912253,1.961464288,1.024314279,1.02684718,1.022362769,1.022362769,1.024461573,1.024818568,1.024482376,1.026429664,1.026216629,1.024818568,1.024461573,1.024818568,1.026699851,1.025543402,1.026268237,1.565833163,1.812339267,1.025543402,2.608349788,1.026268237,1.026268237,1.026557708,1.025832874,1.024818568,1.023170884,1.025832874,1.024818568,1.024818568,1.024818568,1.023994726,1.022362769,1.024818568,1.023994726,1.025543402,1.023994726,1.025543402,1.024818568,1.035531923,1.024781127,1.42430605,1.024818568,1.024818568,1.022362769,1.022766826,1.023170884,1.389609867,70.52547999,40.37733546,12.73416471,16.42459604,5.853457567,1.026268237,15.48781581,24.03738967,2.618904879,1.741593356,13.04144911,22.38992386,26.72983763,1.02181159,1.022766826,1.392594144,1.048849861,1.09504364,1.103926278,1.017884268,20.78015414
ATOH8,1.049315412,1.021260412,1.021750097,1.02181159,1.714796481,1.021346039,2.231031657,2.259950769,1.025543402,1.024818568,1.026268237,1.026268237,3.969524306,1.026268237,1.025543402,1.026553242,1.023170884,1.025785014,1.024031344,5.835771226,1.02684718,1.022362769,2.579573828,1.024461573,1.024818568,21.80398544,1.026429664,1.026216629,1.024818568,1.024461573,1.024818568,1.026699851,3.164148196,1.026268237,1.025785014,1.206230772,1.479535127,1.027563081,1.026268237,1.807161517,1.026557708,1.025832874,1.024818568,1.385804851,1.025832874,1.024818568,1.024818568,1.024818568,32.61842447,1.022362769,4.418660849,1.71974154,1.025543402,1.187178001,1.716345157,1.024818568,1.035531923,1.024781127,1.024104579,1.024818568,1.5772138,2.999380669,2.034884339,3.28294568,1.022573939,1.02720513,1.024818568,1.027563081,1.024818568,1.02471956,1.026268237,1.025543402,1.024818568,1.024818568,1.025543402,1.026268237,1.025785014,1.025785014,1.02181159,1.022766826,1.024461573,28.2184028,4.184349991,37.89493524,1.135778595,2.598533402
CTCF,164.4776585,225.6315669,174.334955,249.6169084,250.1506454,339.469116,391.1895975,247.4877878,267.3234767,326.6186494,284.6332452,271.1134361,300.7920989,291.0461853,273.6055614,287.5409957,326.6186494,459.3059835,339.3291051,225.8426204,220.832911,477.6380638,259.4198465,365.9888909,301.7523898,291.0637618,395.3778218,481.5374329,475.6304193,324.1835469,273.2275597,326.5664954,329.8923433,223.1885394,215.9492243,287.3384765,305.4538522,341.8790151,268.5663756,230.373112,215.0191096,215.2022777,265.3635748,322.6033606,192.3585463,223.5737586,282.9635589,297.9532999,312.819833,335.836416,276.1927705,307.7932492,280.9501252,221.5313744,177.2637782,209.9945912,208.280382,183.6948156,185.1165829,236.3987022,204.0446465,272.3326807,206.5217737,186.2244867,240.6685594,160.146106,169.1245026,144.7226918,120.1625314,183.2057746,77.60842426,119.795552,110.6605106,116.0456676,150.2849273,149.3869094,93.41808966,111.1622258,185.5574362,154.3025443,244.2612349,113.1330786,248.3254127,143.5134808,99.3316028,91.49605073
CTCFL,1.020794861,1.021260412,1.021750097,1.02181159,1.023170884,1.021346039,1.024461573,1.025832874,1.025543402,1.024818568,1.026268237,2.874073717,1.024818568,1.026268237,1.58315998,1.026553242,1.023170884,1.025785014,1.205748066,1.300112173,1.02684718,1.022362769,1.149902277,1.024461573,1.024818568,1.024482376,1.497412091,1.026216629,1.024818568,2.609390719,3.31432953,1.026699851,4.344528509,2.024599578,1.951318966,1.024859064,1.025543402,2.42096252,1.026268237,1.026268237,2.046106126,1.708838326,2.329462857,2.148847091,1.025832874,1.024818568,1.024818568,1.75467555,1.236399614,1.616151682,1.024818568,1.934663982,1.025543402,1.023994726,1.025543402,1.024818568,1.035531923,1.334853548,1.024104579,1.024818568,1.730851905,1.022362769,1.022766826,1.023170884,1.022573939,2.181134705,2.857310028,8.249371468,1.024818568,1.02471956,1.026268237,1.025543402,1.806436683,1.024818568,1.025543402,1.026268237,1.025785014,1.025785014,1.02181159,1.022766826,1.329024588,1.019656145,1.017884268,1.019106789,1.017884268,48.00564112
IRF1,557.5033474,411.3423041,603.100634,639.0886398,567.7883487,557.378055,268.4602411,640.9854801,434.9101251,482.1741237,617.0797622,524.539624,706.6020355,575.9903599,625.1175423,686.707501,641.3601403,257.4472094,371.4357709,675.7306014,827.4692381,259.7576315,832.4429953,599.4907223,505.1770444,412.1531454,324.0180862,293.9658371,151.528105,735.4408401,871.9266382,1267.813706,1041.707168,1379.370663,1267.469184,1228.903681,1039.822191,1328.438506,1082.069206,977.5329201,1080.15326,1009.724707,1327.573715,1304.696135,2574.346762,1021.557238,1285.570284,644.2415898,970.6616416,633.9361905,1457.309469,586.9413588,1520.92875,1475.411385,1069.336306,1211.486771,1132.608545,1195.609961,1186.550433,881.6642715,926.7440529,696.5158223,748.7995878,571.1773195,546.0419571,661.0659129,1191.887559,785.859419,920.395332,1219.901622,1734.206339,364.2707279,377.7273292,1074.525791,199.165569,302.2783063,331.5326672,431.2876332,950.0968657,1729.675653,1284.580051,656.6308039,952.9954469,834.5599913,622.8415096,1156.090647
IRF2,175.0012213,109.2237873,155.1560073,141.8464463,111.6601293,129.9017995,113.4693518,274.5062861,253.5760009,301.7827234,260.6602811,275.979291,299.6140381,267.5411638,182.6624328,306.9962798,267.8541382,196.7087177,174.805577,220.2499867,370.4822937,102.5680849,95.72987791,65.77856237,66.10666467,52.30085492,40.91830181,29.12314627,103.177973,145.1013678,134.3274116,196.3788378,170.321474,174.8693231,124.729594,163.1628982,181.6076002,107.7160046,173.7028074,193.1715557,169.8841752,132.797606,161.4352936,156.3495233,437.3220555,86.10511487,121.2157579,134.7507528,162.4361216,122.5245283,148.7599616,133.3589399,211.7129561,191.6536049,141.825854,184.6261543,211.6092044,193.8601747,210.0594079,227.5977582,126.9862093,111.364883,117.2773806,118.5507706,101.7067651,182.1431831,257.4443424,338.5164337,246.6172382,294.7992315,231.6888339,241.383233,245.8806467,158.4192274,88.28987413,139.405572,274.315775,344.7093172,172.2962668,158.3815347,121.2342585,59.71437355,99.51315331,108.9347767,67.8978998,62.2435247
IRF3,282.8868429,248.2874862,266.8994033,298.1048946,260.4665204,291.6568111,263.5074518,421.0413377,356.8956859,314.4003895,367.0012774,438.2231386,389.4659077,353.3210337,417.9397259,394.5579327,419.1754649,443.0487835,415.848916,262.2499323,280.880761,238.8391062,255.1406359,268.1330721,241.1503432,260.5674598,258.2811059,253.6571956,368.4345866,319.4838892,336.7352539,432.6084996,403.4556644,375.2294138,250.8060636,352.833294,432.000603,367.9364199,281.2544233,345.5087314,347.0511502,391.2489236,366.0462302,320.1118113,277.5278554,217.6692718,291.4111606,341.8653674,321.4122617,239.3213107,354.3626671,266.4307326,374.2772893,319.8393025,306.2964027,310.8239931,316.0018717,331.0893647,338.1877469,325.7520769,269.3867124,296.6724685,330.5837091,306.363526,230.0055565,204.1065035,216.6643515,238.7624887,230.5974526,338.9150867,243.1299357,208.1707596,204.461643,337.351704,239.1948558,261.0822062,213.0321714,188.1257357,323.4041567,264.1652408,347.9036996,266.6597547,285.7895123,285.9834587,280.4139974,168.2975193
IRF4,1.38071564,1.110312201,2.598350517,2.522134918,30.0964053,89.94914401,653.7860311,962.6652146,614.0827351,536.5286356,720.9611528,563.2531446,692.0657108,628.6872503,860.8674596,658.3983696,880.5458944,76.50114474,221.0225727,2001.454093,3641.630122,1229.093961,3.191824686,2.303499049,2.361026945,8.08741746,10.53905722,7.242860127,24.78841759,234.3368998,45.96635732,14.29320643,25.96390371,28.12701343,1151.60897,964.2596528,116.3006905,7.493182938,580.6466413,74.85995805,70.11746898,4.796511833,1.024818568,116.2527523,111.1149904,28.14822025,96.52285924,22.1341249,63.55278673,25.30637608,21.51398971,32.67339557,21.32040134,14.58221839,14.43091595,12.62753859,1.661334653,53.7550317,9.16825165,1.024818568,37.73261895,5.89346779,1.741356844,3.28294568,1.770176163,12.46172825,78.16085579,1.027563081,238.8744107,111.6503105,3.481405729,497.8688145,89.06482719,12.36263326,13.80192136,25.26057117,146.9302708,214.638762,427.4672801,119.2251853,237.912695,2.302058843,497.5887663,1.040294936,1.202592484,341.4020316
IRF5,92.25161924,72.85217855,169.2766971,134.5360149,203.6120451,180.228673,173.2580696,1525.413961,1177.810879,1582.35147,1453.637045,1173.369127,1328.894293,1344.208565,1289.107823,1291.084298,1651.173443,753.2906003,1104.776665,571.8434023,295.1372972,375.2430178,114.3661875,54.70998652,6.324286273,2.32221613,1.944891495,7.619954436,9.050631308,3.536962263,7.954057009,11.4514155,3.254260154,3.890060158,5.459105449,329.3513767,60.90481038,6.608354391,36.12366749,30.35581967,61.50943979,3.519560789,12.0414635,65.18439559,276.4626563,98.04864846,100.093501,5.298087641,119.0586499,2.964235415,19.10093354,4.848758208,6.088584091,38.36066226,73.54551724,70.11657818,66.32162071,78.99259217,61.86215925,58.16382793,135.8914248,391.062065,401.5556932,383.7663865,122.8617452,248.0653157,864.3836137,1001.681954,2829.405362,2477.357986,854.3225786,2205.312343,1061.610706,1174.14543,352.413993,2021.789664,1052.817193,1011.187918,1544.92902,2191.916138,1053.910769,34.25387464,731.5198596,1.713375694,22.05753372,547.516387
IRF6,259.8442986,86.17052525,131.7647936,34.65557301,10.81227133,4.995611938,3.845530954,14.98495203,18.4549442,16.72196819,2.481436696,24.49226357,11.79941312,11.41944731,8.375654018,13.59079365,1.023170884,4.690440961,6.018870856,24.39033777,50.76701938,6.064716428,18.52007322,7.634724597,3.407236635,3.867221452,5.221271295,6.604802147,53.97794181,52.99223949,72.6079112,109.6365497,92.85628007,68.40857699,56.06752964,98.54894738,184.5180421,41.66900507,3.64296457,1.026268237,9.991891042,5.039204185,8.935453431,2.148847091,10.01794411,14.42838377,2.329462857,7.886538652,100.3113388,3.535561032,6.834699866,23.65205603,4.952914226,10.10085007,18.28753143,9.679686765,9.177792737,14.09974656,10.63093448,23.20200885,4.648302821,1.022362769,8.473555934,3.28294568,23.52760366,2.676168724,3.621724621,32.04475986,5.23620708,7.602669533,1.026268237,1.672771184,1.690375723,1.024818568,5.386419738,3.454406737,3.624350609,1.025785014,1.251081757,15.81581001,7.091089676,1.048849861,4.476968361,4.732874367,29.64243578,1029.097149
IRF7,81.71716977,47.31386473,82.41841389,105.216513,167.9879511,210.0018768,29.85631339,109.2148123,30.74184547,193.9927239,202.7009194,181.5077509,197.8869894,256.1282294,118.4527828,160.3514426,228.7680994,125.4929788,118.0372427,233.158711,176.9367374,32.48358704,204.7429464,92.94098998,102.3570109,51.86176413,33.38601169,26.3795503,18.7323808,547.9986857,752.1817866,435.9434656,409.7290867,529.0850379,550.5476005,235.7928921,374.9726325,358.7312689,257.9015088,265.6344254,288.3731598,274.2002524,361.2741679,399.4007301,4321.417047,1264.402942,332.8534683,230.9689683,318.7037162,234.6580759,633.5947518,268.9745815,684.5815321,481.2117125,316.3675062,335.3853694,233.2912174,316.5585742,320.6285591,279.7677583,190.5328818,176.5981169,437.9451608,114.8001484,67.56556163,486.4214165,931.358724,565.3747847,1495.990562,621.1130728,5286.56522,67.53248016,264.8332795,1134.56672,8.287519798,21.00118771,227.1278138,347.5065281,505.635272,329.5107824,1636.154626,89.94224716,726.5710787,988.6614577,797.9018414,283.4720265
IRF8,16.18150624,6.07893636,19.84110571,282.2337762,2868.535493,5412.522564,728.7330847,2437.827584,570.4969235,2113.964544,2241.537413,1998.182534,1809.527169,1920.40937,1243.895374,2002.222319,2673.343936,2370.440827,2501.086395,920.9012316,554.0217308,988.0210746,233.2170572,75.9761264,18.52284176,33.00135955,48.89242359,68.08888282,15.92983656,22.18310336,31.80899465,21.72585315,14.68801885,21.08874066,1533.540885,423.5219769,62.31153298,19.7331132,142.1259138,113.2674593,92.92843132,29.95333998,15.63448816,88.74051723,373.7652411,86.5828279,104.9608473,60.52682472,85.36809341,57.35053258,41.66859518,62.2639876,50.87235192,127.166765,936.1478242,2067.337375,2616.269478,1052.527482,1854.333251,1739.876871,22.17009799,158.2842008,277.3804376,178.2934611,255.9841539,124.2424667,436.5513671,99.87321749,998.4686863,650.6136192,500.0891791,50.73946465,326.6737447,1758.62858,407.493539,2487.64499,558.5728825,541.2553341,221.8489842,6211.006113,16536.81094,1001.21842,4019.303192,105.1808722,990.6496381,1670.871764
IRF9,525.3694051,314.6055703,440.3955332,472.6209446,459.3801353,453.4836336,164.9292839,570.5335581,449.9135681,656.0356827,616.1944122,507.7760366,608.7271645,729.7822366,509.7713073,513.2617466,824.3869849,161.2988761,208.8405202,290.946062,398.9856091,179.883204,373.5520307,239.9030223,231.0393468,144.3985953,92.56068021,60.92050861,155.1432469,909.8573104,761.798566,768.8731388,747.4533201,735.7417037,426.776955,515.9500214,790.2120365,614.1560967,377.0077162,416.0379179,446.4634355,395.6717163,419.1754649,643.4750956,1165.097548,668.2579886,339.2192658,510.5096273,507.4170757,381.4060744,764.6151365,422.2149703,805.420418,647.5171925,364.9065076,348.0784316,419.2687713,361.2187631,383.6326591,340.2775635,339.3616319,101.3356915,206.414478,147.2855132,343.68564,585.705966,651.1243215,616.5549486,661.2730836,499.9305306,502.0893097,316.2207921,285.1938807,447.2245441,122.9439248,281.1372348,328.8112815,401.8259594,697.295493,450.2915185,766.7650592,377.2911234,447.135074,563.5627536,635.2887004,201.3466357
LYL1,847.8477624,550.8086418,673.0324672,625.7832009,641.049346,508.97766,420.6552313,693.5058499,408.844461,568.4522811,620.7586939,714.794328,552.5265016,467.0230385,474.5908629,561.7057893,581.4542589,667.7090988,648.5146201,180.5635755,193.4788961,216.8080024,504.8258922,504.1681538,87.8405414,1.201567125,1.962398543,3.62641713,2.174095561,2.609390719,1.024818568,4.664590798,3.164148196,2.024599578,2.132073144,8.366651941,7.017129725,2.42096252,9.117719918,1.026268237,2.55908204,1.025832874,1.024818568,1.385804851,1.025832874,1.024818568,9.710078347,1.024818568,1.023994726,5.084840385,1.024818568,3.489853986,1.025543402,4.872652574,1.025543402,1.024818568,1.035531923,1.024781127,3.261065771,4.212991191,8.608053188,1.022362769,1.022766826,1.023170884,613.3369466,378.1688551,405.8378203,327.2196165,657.0332411,944.3190178,43.19542899,473.5363154,461.1603699,75.47863607,58.53633928,644.1731424,493.7894702,541.9188757,161.627168,27.08029599,53.11718531,1.261261494,161.1071559,26.14792456,220.5253119,1.011585442
MYOD1,1.020794861,1.021260412,1.021750097,1.02181159,1.023170884,1.021346039,1.024461573,1.025832874,1.025543402,1.024818568,1.026268237,1.026268237,1.024818568,1.026268237,1.025543402,1.026553242,1.023170884,1.025785014,1.388111071,1.024314279,1.02684718,1.022362769,1.022362769,1.024461573,1.024818568,1.024482376,1.944891495,1.026216629,1.024818568,1.024461573,1.024818568,1.026699851,1.025543402,1.026268237,1.025785014,1.024859064,2.119781217,1.027563081,1.026268237,1.026268237,1.026557708,6.688262317,1.024818568,1.023170884,1.025832874,1.024818568,1.024818568,1.75467555,1.023994726,1.022362769,1.024818568,1.023994726,1.025543402,7.193696732,1.025543402,2.53240981,1.035531923,1.024781127,1.024104579,1.024818568,1.024818568,1.022362769,1.022766826,1.023170884,1.022573939,1.02720513,1.024818568,3.162825361,1.024818568,1.02471956,1.026268237,1.025543402,1.806436683,1.024818568,1.025543402,1.026268237,1.025785014,1.025785014,1.02181159,1.201247717,1.024461573,1.019656145,1.041742792,1.019106789,1.017884268,1.39152498
